num_episode,v_behavior,v_target,v_gain,v_behavior_std,v_target_std,v_gain_std,offline_method,loss,model,time
0,102.74147614166039,35.88724092647851,0.3488372597659905,12.59197336128982,69.01794609232331,0.6617393635060549,IS,,MARWILTrainer,2014.458161830902
1,102.05520254822338,36.49732435966906,0.3584152795241909,14.364121592959494,69.62601326845427,0.6660807705732814,IS,,MARWILTrainer,2014.458161830902
2,102.73682376433572,36.919090363989845,0.3572649294433425,12.692780019965738,69.82245859604048,0.666348454932715,IS,,MARWILTrainer,2014.458161830902
3,102.33843338131484,36.50933535170062,0.3546599122791679,14.21041077047999,69.4105627870445,0.6614685455170791,IS,,MARWILTrainer,2014.458161830902
4,102.43312026962589,36.79849444739468,0.36844298307756373,13.647651312546444,69.51740370568983,0.7014671708110118,IS,,MARWILTrainer,2014.458161830902
5,102.54673114006083,36.4614756891742,0.3527412988730011,12.656080893491927,69.710435944306,0.6646268664667817,IS,,MARWILTrainer,2014.458161830902
6,102.43937832640128,34.46094780294358,0.3342526600782993,13.968174733672294,64.29964504765341,0.6115317724218123,IS,,MARWILTrainer,2014.458161830902
7,102.25269137768603,36.11581607707855,0.3549024749952369,14.498966053046985,68.87645512177764,0.6603816788191603,IS,,MARWILTrainer,2014.458161830902
8,102.45491068775415,36.66413172745462,0.35537192833469583,13.184535557408191,69.71056929208748,0.6649067804972009,IS,,MARWILTrainer,2014.458161830902
9,102.3383017289212,36.81229603538642,0.3569537094295048,13.475497117477964,69.70190462650083,0.6650450243074212,IS,,MARWILTrainer,2014.458161830902
10,102.61935580124174,36.56088986743909,0.35368344367088844,13.247511272075135,69.54399216951731,0.6629538838536935,IS,,MARWILTrainer,2014.458161830902
11,102.52201846689138,36.72271125855697,0.35533881451957505,13.16375148936953,69.56566590602085,0.6637250081957863,IS,,MARWILTrainer,2014.458161830902
12,102.44381969085222,36.543202861041735,0.35502758113114036,12.887894888606994,69.56520870949761,0.6638728361278401,IS,,MARWILTrainer,2014.458161830902
13,102.54651872425306,34.56348355752378,0.33496271196179783,12.86963552681211,64.37625055197609,0.6126490806671547,IS,,MARWILTrainer,2014.458161830902
14,102.6672066229998,37.06487381163398,0.35958785042942654,13.466870349777043,69.6457291864413,0.6645868043719584,IS,,MARWILTrainer,2014.458161830902
15,102.20909964996245,35.65661133905409,0.3479128614524684,13.215433683964122,68.93017446246753,0.6607153169693695,IS,,MARWILTrainer,2014.458161830902
16,102.54179142624048,36.64032832292454,0.35480698762314733,13.034125325024593,69.7488189632099,0.6655958941423495,IS,,MARWILTrainer,2014.458161830902
17,102.31158073018513,36.95984366351889,0.3610234924398715,14.323819205582502,69.68185000580954,0.6652716998992324,IS,,MARWILTrainer,2014.458161830902
18,102.44082784341421,36.390764719480146,0.35182473518863644,13.719694651776283,69.45070238249852,0.6621167815185678,IS,,MARWILTrainer,2014.458161830902
19,102.57564830690885,36.61497221729677,0.35439177314395875,12.799634697491983,69.55443495119269,0.6631900338618711,IS,,MARWILTrainer,2014.458161830902
20,102.32619434431867,35.04680112326465,0.34099798928548875,13.609217915675355,64.71455815733557,0.6162417752328866,IS,,MARWILTrainer,2014.458161830902
21,102.33089085562821,36.33520048029166,0.35809530493628033,14.619317193541024,69.2359922234938,0.6686480893535205,IS,,MARWILTrainer,2014.458161830902
22,102.75364273380873,35.94168878605807,0.349584174153887,12.633555028940835,68.99796330374828,0.6614525120666852,IS,,MARWILTrainer,2014.458161830902
23,102.0547653228741,36.603914061778035,0.36067232261231097,14.305955116737605,69.62628621895004,0.6709730778615433,IS,,MARWILTrainer,2014.458161830902
24,102.40275222042445,36.78399100501779,0.3591329823500809,13.919830234699425,69.70275089852169,0.6658700081193563,IS,,MARWILTrainer,2014.458161830902
25,102.69773852004312,36.59203325717188,0.3538767350799855,12.971634647364146,69.54258510780943,0.663005403778778,IS,,MARWILTrainer,2014.458161830902
26,102.47408252458926,36.87080092664854,0.3624930051395338,13.346537003230054,69.5345506515236,0.6731977771164669,IS,,MARWILTrainer,2014.458161830902
27,102.15030332799248,36.29366348814992,0.35145417316200145,13.959112171016894,69.61489721987917,0.6635794587563568,IS,,MARWILTrainer,2014.458161830902
28,102.42783256011812,34.47037748495433,0.33315036206680865,14.24417058383169,64.29634582032415,0.6118211291765495,IS,,MARWILTrainer,2014.458161830902
29,102.71365443696247,36.305841385804534,0.35367731328355523,12.861524137596362,68.96727963593074,0.6612562102768712,IS,,MARWILTrainer,2014.458161830902
30,102.49949964735416,36.56347602322205,0.35414849183157315,12.823106706412707,69.71272872953999,0.6649680481992212,IS,,MARWILTrainer,2014.458161830902
31,102.3355052334205,36.8038032899808,0.35738501421985963,13.307959005080965,69.70321923864566,0.665206262266714,IS,,MARWILTrainer,2014.458161830902
32,102.58101031980887,36.614354084827895,0.3544575131065147,13.215732401962281,69.52764915120959,0.6628109462606073,IS,,MARWILTrainer,2014.458161830902
33,102.56973921554997,36.70681919135177,0.3550833518703244,12.948918250939688,69.5726429189849,0.6638295575814984,IS,,MARWILTrainer,2014.458161830902
34,102.44967617841725,36.62420498520285,0.3556773645943722,12.830264703061571,69.55935771963567,0.6636058578164079,IS,,MARWILTrainer,2014.458161830902
35,102.46848090995253,34.45684676416832,0.33338276176002385,13.280355458630103,64.40281533657645,0.6126650239855556,IS,,MARWILTrainer,2014.458161830902
36,102.69375668098465,37.067729070372806,0.35983783311652434,13.671717642454828,69.6453675309292,0.664361319687501,IS,,MARWILTrainer,2014.458161830902
